epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,79.4336,2.22499,4.0052,1.26451,0.60619,0.09516,0.06548,0.03509,2.09995,2.80242,1.1278,0.000194559,0.000194559,0.000194559
2,150.828,2.18358,2.91526,1.15421,0.51524,0.11908,0.09141,0.05196,1.99827,2.28885,1.09992,0.000388201,0.000388201,0.000388201
3,221.744,2.14805,2.52474,1.13188,0.61098,0.13395,0.1576,0.10034,1.97114,2.10515,1.08909,0.000579477,0.000579477,0.000579477
4,291.89,2.07208,2.30446,1.11943,0.51128,0.16163,0.14248,0.08329,1.8927,1.93076,1.07805,0.000577351,0.000577351,0.000577351
5,366.546,1.98696,2.15083,1.10714,0.47917,0.20654,0.17196,0.10449,1.89232,1.86274,1.06185,0.000573802,0.000573802,0.000573802
6,442.119,1.9515,2.05427,1.0775,0.44951,0.28357,0.17137,0.10199,1.82583,1.82995,1.05722,0.000570252,0.000570252,0.000570252
7,516.657,1.89145,1.97453,1.07715,0.53654,0.272,0.20413,0.12652,1.83814,1.71063,1.05332,0.000566703,0.000566703,0.000566703
8,594.095,1.93001,1.93195,1.07015,0.54487,0.30262,0.25138,0.15553,1.82972,1.72365,1.05303,0.000563153,0.000563153,0.000563153
9,664.889,1.89884,1.854,1.06132,0.60325,0.31259,0.2712,0.17579,1.78068,1.59978,1.03994,0.000559604,0.000559604,0.000559604
10,733.125,1.9185,1.82619,1.06404,0.60179,0.31223,0.26668,0.16815,1.79273,1.63716,1.03389,0.000556054,0.000556054,0.000556054
11,802.903,1.85677,1.77377,1.05223,0.60145,0.32936,0.29113,0.18589,1.78469,1.5656,1.03954,0.000552505,0.000552505,0.000552505
12,878.157,1.85381,1.74694,1.05188,0.67941,0.32837,0.34684,0.22669,1.75086,1.51482,1.02955,0.000548955,0.000548955,0.000548955
13,947.693,1.82976,1.69465,1.04414,0.69839,0.32805,0.33871,0.22227,1.76973,1.53327,1.02869,0.000545406,0.000545406,0.000545406
14,1016.92,1.81358,1.67628,1.04027,0.60093,0.34575,0.3575,0.24175,1.71078,1.49761,1.0212,0.000541856,0.000541856,0.000541856
15,1090.8,1.80213,1.63936,1.0432,0.47242,0.35005,0.37511,0.24803,1.75257,1.46545,1.04074,0.000538307,0.000538307,0.000538307
16,1160.57,1.81505,1.65175,1.04192,0.55587,0.37395,0.38518,0.26066,1.68938,1.46693,1.01493,0.000534757,0.000534757,0.000534757
17,1229.8,1.78168,1.60751,1.03239,0.47138,0.41558,0.39228,0.25363,1.71625,1.47149,1.0213,0.000531208,0.000531208,0.000531208
18,1295.36,1.76867,1.59304,1.02717,0.51506,0.4094,0.4228,0.28604,1.71463,1.44131,1.01493,0.000527658,0.000527658,0.000527658
19,1366.7,1.76822,1.54592,1.02488,0.47512,0.41916,0.42654,0.29526,1.6662,1.3791,1.01378,0.000524109,0.000524109,0.000524109
20,1433.41,1.79238,1.55993,1.03051,0.54058,0.40703,0.43453,0.28784,1.70432,1.38288,1.01267,0.000520559,0.000520559,0.000520559
21,1502.76,1.75403,1.54745,1.02279,0.54362,0.43758,0.44622,0.29639,1.67626,1.40397,1.00793,0.00051701,0.00051701,0.00051701
22,1569.19,1.75334,1.51128,1.02739,0.49337,0.4573,0.45781,0.30969,1.66803,1.34243,1.00615,0.00051346,0.00051346,0.00051346
23,1640.39,1.72835,1.50881,1.02472,0.48271,0.46499,0.46847,0.3211,1.64652,1.36872,1.01206,0.000509911,0.000509911,0.000509911
24,1709.26,1.74645,1.49171,1.01649,0.45668,0.48427,0.47212,0.30941,1.71035,1.36851,1.00787,0.000506361,0.000506361,0.000506361
25,1777.2,1.72102,1.4632,1.01128,0.53657,0.4674,0.47817,0.32536,1.62448,1.32044,0.9979,0.000502812,0.000502812,0.000502812
26,1846.61,1.70386,1.44198,1.00955,0.52331,0.50179,0.5089,0.3507,1.62769,1.2998,0.99596,0.000499262,0.000499262,0.000499262
27,1921.29,1.72092,1.4554,1.00939,0.55872,0.48373,0.50304,0.34548,1.64537,1.31308,1.00135,0.000495713,0.000495713,0.000495713
28,1993.51,1.71429,1.4477,1.01206,0.55129,0.5042,0.50361,0.34203,1.63727,1.29088,0.99753,0.000492163,0.000492163,0.000492163
29,2063.53,1.71177,1.42524,1.00371,0.58054,0.49991,0.52223,0.35478,1.6289,1.29399,0.99788,0.000488614,0.000488614,0.000488614
30,2137.01,1.70363,1.39817,1.00455,0.57114,0.52591,0.53502,0.36443,1.62967,1.28018,0.99247,0.000485064,0.000485064,0.000485064
31,2208.65,1.68211,1.38843,0.99759,0.62391,0.52431,0.54938,0.37831,1.60178,1.25061,0.99316,0.000481515,0.000481515,0.000481515
32,2274.27,1.69194,1.3668,1.00193,0.61344,0.53979,0.56247,0.39189,1.59211,1.22494,0.98724,0.000477965,0.000477965,0.000477965
33,2343.7,1.70084,1.38015,1.00275,0.61133,0.56656,0.56996,0.40372,1.58618,1.20893,0.98676,0.000474416,0.000474416,0.000474416
34,2415.43,1.6862,1.36701,0.99432,0.58672,0.53166,0.56202,0.37896,1.59479,1.22164,0.98751,0.000470866,0.000470866,0.000470866
35,2480.89,1.68345,1.34548,0.99127,0.63193,0.52074,0.55127,0.38633,1.60541,1.22908,0.98787,0.000467317,0.000467317,0.000467317
36,2549.1,1.69358,1.34023,0.99624,0.60337,0.53916,0.56808,0.39896,1.58521,1.21752,0.98186,0.000463767,0.000463767,0.000463767
37,2614.5,1.67011,1.32556,0.99207,0.63209,0.56209,0.57885,0.40737,1.58308,1.19362,0.98584,0.000460218,0.000460218,0.000460218
38,2686.98,1.66085,1.31735,0.99343,0.68065,0.51494,0.57518,0.39846,1.58832,1.18996,0.98348,0.000456668,0.000456668,0.000456668
39,2754.29,1.66312,1.31305,0.98606,0.62036,0.57431,0.59263,0.41603,1.57695,1.17785,0.97915,0.000453119,0.000453119,0.000453119
40,2820.16,1.67336,1.3003,0.99433,0.67759,0.55963,0.59616,0.41995,1.58162,1.18466,0.98029,0.000449569,0.000449569,0.000449569
41,2887.89,1.64332,1.26056,0.99334,0.64514,0.56982,0.60276,0.41611,1.58636,1.17921,0.97935,0.00044602,0.00044602,0.00044602
42,2953.72,1.6209,1.24709,0.98714,0.66661,0.58685,0.62043,0.44202,1.57057,1.13764,0.98199,0.00044247,0.00044247,0.00044247
43,3020.57,1.6313,1.26174,0.98657,0.71097,0.59742,0.64413,0.45497,1.58001,1.15461,0.97889,0.00043892,0.00043892,0.00043892
44,3084.77,1.64637,1.2534,0.986,0.73543,0.5972,0.64492,0.45857,1.55871,1.11854,0.97259,0.000435371,0.000435371,0.000435371
45,3149.97,1.61372,1.23993,0.98346,0.68644,0.57301,0.62459,0.4419,1.54097,1.13177,0.97053,0.000431821,0.000431821,0.000431821
46,3217.66,1.59938,1.22241,0.98054,0.72241,0.57122,0.64161,0.44012,1.55162,1.14423,0.97222,0.000428272,0.000428272,0.000428272
47,3284.73,1.63475,1.25728,0.97726,0.66033,0.60489,0.63322,0.44957,1.55854,1.14692,0.97487,0.000424722,0.000424722,0.000424722
48,3349.2,1.6181,1.23072,0.97892,0.65998,0.59653,0.64735,0.45394,1.55442,1.11822,0.97163,0.000421173,0.000421173,0.000421173
49,3416.44,1.64269,1.23421,0.98177,0.67597,0.58929,0.63639,0.44877,1.54524,1.13145,0.97201,0.000417623,0.000417623,0.000417623
50,3483.54,1.60326,1.21508,0.98705,0.71094,0.57672,0.62435,0.43998,1.55816,1.1468,0.97,0.000414074,0.000414074,0.000414074
51,3549.77,1.60004,1.20614,0.97567,0.75545,0.59148,0.65748,0.46116,1.54455,1.10594,0.96734,0.000410524,0.000410524,0.000410524
52,3614.01,1.57604,1.18196,0.96735,0.74084,0.60024,0.6559,0.46808,1.5374,1.09058,0.96649,0.000406975,0.000406975,0.000406975
53,3680.16,1.58695,1.18196,0.97266,0.73172,0.62749,0.67861,0.47802,1.54916,1.09673,0.96915,0.000403425,0.000403425,0.000403425
54,3747.95,1.58316,1.16285,0.97698,0.7155,0.63218,0.66885,0.47569,1.518,1.08676,0.96371,0.000399876,0.000399876,0.000399876
55,3813.13,1.57535,1.15585,0.96369,0.73789,0.62623,0.6763,0.48562,1.53226,1.06023,0.9655,0.000396326,0.000396326,0.000396326
56,3876.97,1.58983,1.15621,0.97055,0.80069,0.61681,0.6869,0.48961,1.53289,1.06045,0.96624,0.000392777,0.000392777,0.000392777
57,3942.29,1.58176,1.17351,0.97408,0.69977,0.62834,0.67244,0.47918,1.52524,1.07502,0.96386,0.000389227,0.000389227,0.000389227
58,4011.04,1.58052,1.1542,0.96982,0.74511,0.62004,0.6695,0.47568,1.54231,1.07569,0.96644,0.000385678,0.000385678,0.000385678
59,4074.83,1.56879,1.1438,0.96627,0.79449,0.61495,0.68183,0.48469,1.51079,1.05018,0.96078,0.000382128,0.000382128,0.000382128
60,4141.89,1.55539,1.1252,0.96695,0.71492,0.64645,0.68378,0.49232,1.50359,1.03957,0.96001,0.000378579,0.000378579,0.000378579
61,4206.22,1.56674,1.12531,0.95662,0.72261,0.66131,0.69305,0.49991,1.49638,1.026,0.95837,0.000375029,0.000375029,0.000375029
62,4278.76,1.54462,1.11139,0.96079,0.74819,0.63879,0.68951,0.49729,1.50061,1.05827,0.96018,0.00037148,0.00037148,0.00037148
